"",playlist.id,playlist.name,followers.total
295,37i9dQZEVXbKkidEfWYRuD,Top 50 - Ukraine,20160
296,37i9dQZEVXbLnolsZ8PSNw,Top 50 - United Kingdom,2180281
297,37i9dQZEVXbLdGSmz6xilI,Top 50 - Vietnam,75359
298,3seAKhZ9QXirBjL9lazOi4,Top 50 - Zimbabwe,65
299,5atgcoJ9pDa39CzCYdXkRi,Top 50 - Polska,756
300,37i9dQZEVXbMMy2roB9myp,Top 50 - Argentina,1265169
301,37i9dQZEVXbJPcfkRz0wJ0,Top 50 - Australia,807873
302,37i9dQZEVXbKNHh6NIXu36,Top 50 - Austria,117970
303,37i9dQZEVXbJNSeeHswcKB,Top 50 - Belgium,267688
304,37i9dQZEVXbJqfMFK4d691,Top 50 - Bolivia,91411
305,37i9dQZEVXbMXbN3EUUhlg,Top 50 - Brazil,3201490
306,37i9dQZEVXbKj23U1GF4IR,Top 50 - Canada,332481
307,37i9dQZEVXbL0GavIqMTeb,Top 50 - Chile,502397
308,37i9dQZEVXbOa2lmxNORXQ,Top 50 - Colombia,770860
309,37i9dQZEVXbMZAjGMynsQX,Top 50 - Costa Rica,138889
310,37i9dQZEVXbL3J0k32lWnN,Top 50 - Denmark,192785
311,37i9dQZEVXbJlM6nvL1nD1,Top 50 - Ecuador,168719
312,37i9dQZEVXbLesry2Qw2xS,Top 50 - Estonia,16942
313,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,131443
314,37i9dQZEVXbIPWwFssbupI,Top 50 - France,816864
315,37i9dQZEVXbJiZcmkrIHGU,Top 50 - Germany,2130110
316,37i9dQZEVXbMDoHDwVN2tF,Top 50 - Global,17009518
317,37i9dQZEVXbJqdarpmTJDL,Top 50 - Greece,79446
318,37i9dQZEVXbLy5tBFyQvd4,Top 50 - Guatemala,74592
319,37i9dQZEVXbLwpL8TjsxOG,Top 50 - Hong Kong,104840
320,37i9dQZEVXbNHwMxAkvmF8,Top 50 - Hungary,68350
321,37i9dQZEVXbKMzVsSGQ49S,Top 50 - Iceland,39727
322,37i9dQZEVXbLZ52XmnySJg,Top 50 - India,351037
323,37i9dQZEVXbObFQZ3JLcXt,Top 50 - Indonesia,621217
324,37i9dQZEVXbKM896FDX8L1,Top 50 - Ireland,239806
325,37i9dQZEVXbJ6IpvItkve3,Top 50 - Israel,48632
326,37i9dQZEVXbIQnj7RRhdSX,Top 50 - Italy,1025501
327,37i9dQZEVXbKXQ4mDTEBXq,Top 50 - Japan,922864
328,37i9dQZEVXbKGcyg6TFGx6,Top 50 - Luxembourg,7355
329,37i9dQZEVXbJlfUljuZExa,Top 50 - Malaysia,201367
330,37i9dQZEVXbO3qyFxbkOE1,Top 50 - Mexico,1559241
331,37i9dQZEVXbJU9eQpX8gPT,Top 50 - Morocco,24405
332,37i9dQZEVXbKCF6dqVpDkS,Top 50 - Netherlands,903716
333,37i9dQZEVXbM8SIrkERIYl,Top 50 - New Zealand,210687
334,37i9dQZEVXbISk8kxnzfCq,Top 50 - Nicaragua,15534
335,37i9dQZEVXbJvfa0Yxg7E7,Top 50 - Norway,520408
336,37i9dQZEVXbKypXHVwk1f0,Top 50 - Panama,93347
337,37i9dQZEVXbJfdy5b0KP7W,Top 50 - Peru,448475
338,37i9dQZEVXbNBz9cRCSFkY,Top 50 - Philippines,1191675
339,37i9dQZEVXbKyJS56d1pgi,Top 50 - Portugal,195370
340,37i9dQZEVXbNZbJ6TZelCq,Top 50 - Romania,27654
341,37i9dQZEVXbLrQBcXqUtaC,Top 50 - Saudi Arabia,5307
342,37i9dQZEVXbK4gjvS1FjPY,Top 50 - Singapore,129430
343,37i9dQZEVXbKIVTPX9a2Sb,Top 50 - Slovakia,20406
344,37i9dQZEVXbMH2jvi6jvjk,Top 50 - South Africa,31102
